gene_id,gene_name,Control_1,Control_2,Control_3,Control_4,Treat_1,Treat_2,Treat_3,Treat_4
ENSG000000001,TP53,26,34,72,51,203,195,333,266
ENSG000000002,BRCA1,18,10,10,14,48,111,62,90
ENSG000000003,MYC,74,93,101,82,656,294,290,452
ENSG000000004,EGFR,639,552,270,340,821,3326,2028,2249
ENSG000000005,KRAS,15,8,16,7,72,72,55,62
ENSG000000006,PTEN,9,12,12,13,125,95,103,48
ENSG000000007,CDH1,558,788,636,595,2695,527,4163,1645
ENSG000000008,RB1,75,225,104,78,525,606,821,200
ENSG000000009,PIK3CA,2,2,11,6,41,14,37,43
ENSG000000010,APC,71,79,101,48,304,265,651,246
ENSG000000011,VEGFA,9,5,3,7,57,66,42,61
ENSG000000012,FGFR1,4,13,9,3,40,71,85,40
ENSG000000013,ERBB2,31,24,38,17,92,28,283,91
ENSG000000014,NOTCH1,1,0,1,0,2,0,1,1
ENSG000000015,WNT1,1,1,0,1,6,3,5,4
ENSG000000016,BCL2,10,5,7,6,25,50,70,24
ENSG000000017,MDM2,2,3,1,8,12,12,20,12
ENSG000000018,CDK4,25,20,21,22,354,206,193,551
ENSG000000019,CCND1,7,1,3,8,17,25,12,12
ENSG000000020,JAK2,2,1,1,0,8,2,6,8
ENSG000000021,STAT3,343,314,354,533,2017,1242,674,3129
ENSG000000022,MTOR,5,9,26,10,31,75,30,68
ENSG000000023,AKT1,31,20,41,17,118,82,120,96
ENSG000000024,MAPK1,0,1,0,1,10,5,11,8
ENSG000000025,RAF1,7,10,1,5,63,16,32,82
ENSG000000026,HRAS,25,12,30,33,108,109,137,54
ENSG000000027,NRAS,4,2,2,0,12,9,12,2
ENSG000000028,SOS1,57,40,25,35,340,120,215,376
ENSG000000029,GRB2,12,4,3,7,15,48,27,71
ENSG000000030,SHC1,12,12,23,13,82,46,43,54
ENSG000000031,IRS1,10,4,3,7,23,27,21,36
ENSG000000032,IGF1R,459,1679,757,920,6439,3368,4350,1376
ENSG000000033,PDGFRA,14,10,39,17,43,82,73,98
ENSG000000034,KIT,2,3,3,1,3,11,25,8
ENSG000000035,FLT3,84,62,159,72,459,233,650,393
ENSG000000036,RET,2,2,3,0,2,13,2,7
ENSG000000037,MET,16,43,22,22,150,249,337,131
ENSG000000038,ALK,0,0,1,0,2,3,3,2
ENSG000000039,ROS1,1,1,2,2,5,8,14,19
ENSG000000040,NTRK1,14,41,42,20,277,259,198,164
ENSG000000041,FGFR2,52,101,78,105,935,286,816,409
ENSG000000042,FGFR3,17,62,20,35,179,104,60,245
ENSG000000043,DDR2,16,15,5,28,171,76,197,113
ENSG000000044,EPHA2,4,8,11,12,55,27,77,54
ENSG000000045,EPHB1,0,0,0,3,2,11,1,2
ENSG000000046,AXL,5,9,3,3,39,10,13,59
ENSG000000047,MERTK,8,5,10,6,48,40,31,35
ENSG000000048,ESR1,113,137,121,75,901,958,1814,382
ENSG000000049,PGR,43,39,32,66,151,183,64,395
ENSG000000050,AR,0,0,0,0,3,1,0,6
ENSG000000051,FOXA1,50,45,26,18,208,163,208,207
ENSG000000052,GATA3,18,12,4,9,60,42,61,22
ENSG000000053,CDK6,5,4,7,6,45,35,33,24
ENSG000000054,CCNE1,75,44,73,79,141,468,96,199
ENSG000000055,CDKN1A,211,179,250,182,1202,481,389,558
ENSG000000056,CDKN2A,130,60,91,131,1363,924,785,897
ENSG000000057,CDKN2B,1,5,6,2,15,20,21,8
ENSG000000058,TP73,12,8,11,4,54,110,36,66
ENSG000000059,TP63,45,30,34,28,123,310,164,72
ENSG000000060,ATM,95,183,175,137,725,631,393,367
