gene_id,gene_name,Control_1,Control_2,Control_3,Control_4,Treat_1,Treat_2,Treat_3,Treat_4
ENSMUSG000000001,Trp53,26,34,72,51,203,195,333,266
ENSMUSG000000002,Brca1,18,10,10,14,48,111,62,90
ENSMUSG000000003,Myc,74,93,101,82,656,294,290,452
ENSMUSG000000004,Egfr,639,552,270,340,821,3326,2028,2249
ENSMUSG000000005,Kras,15,8,16,7,72,72,55,62
ENSMUSG000000006,Pten,9,12,12,13,125,95,103,48
ENSMUSG000000007,Cdh1,558,788,636,595,2695,527,4163,1645
ENSMUSG000000008,Rb1,75,225,104,78,525,606,821,200
ENSMUSG000000009,Pik3ca,2,2,11,6,41,14,37,43
ENSMUSG000000010,Apc,71,79,101,48,304,265,651,246
ENSMUSG000000011,Vegfa,9,5,3,7,57,66,42,61
ENSMUSG000000012,Fgfr1,4,13,9,3,40,71,85,40
ENSMUSG000000013,Erbb2,31,24,38,17,92,28,283,91
ENSMUSG000000014,Notch1,1,0,1,0,2,0,1,1
ENSMUSG000000015,Wnt1,1,1,0,1,6,3,5,4
ENSMUSG000000016,Bcl2,10,5,7,6,25,50,70,24
ENSMUSG000000017,Mdm2,2,3,1,8,12,12,20,12
ENSMUSG000000018,Cdk4,25,20,21,22,354,206,193,551
ENSMUSG000000019,Ccnd1,7,1,3,8,17,25,12,12
ENSMUSG000000020,Jak2,2,1,1,0,8,2,6,8
ENSMUSG000000021,Stat3,343,314,354,533,2017,1242,674,3129
ENSMUSG000000022,Mtor,5,9,26,10,31,75,30,68
ENSMUSG000000023,Akt1,31,20,41,17,118,82,120,96
ENSMUSG000000024,Mapk1,0,1,0,1,10,5,11,8
ENSMUSG000000025,Raf1,7,10,1,5,63,16,32,82
ENSMUSG000000026,Hras,25,12,30,33,108,109,137,54
ENSMUSG000000027,Nras,4,2,2,0,12,9,12,2
ENSMUSG000000028,Sos1,57,40,25,35,340,120,215,376
ENSMUSG000000029,Grb2,12,4,3,7,15,48,27,71
ENSMUSG000000030,Shc1,12,12,23,13,82,46,43,54
ENSMUSG000000031,Irs1,10,4,3,7,23,27,21,36
ENSMUSG000000032,Igf1r,459,1679,757,920,6439,3368,4350,1376
ENSMUSG000000033,Pdgfra,14,10,39,17,43,82,73,98
ENSMUSG000000034,Kit,2,3,3,1,3,11,25,8
ENSMUSG000000035,Flt3,84,62,159,72,459,233,650,393
ENSMUSG000000036,Ret,2,2,3,0,2,13,2,7
ENSMUSG000000037,Met,16,43,22,22,150,249,337,131
ENSMUSG000000038,Alk,0,0,1,0,2,3,3,2
ENSMUSG000000039,Ros1,1,1,2,2,5,8,14,19
ENSMUSG000000040,Ntrk1,14,41,42,20,277,259,198,164
ENSMUSG000000041,Fgfr2,52,101,78,105,935,286,816,409
ENSMUSG000000042,Fgfr3,17,62,20,35,179,104,60,245
ENSMUSG000000043,Ddr2,16,15,5,28,171,76,197,113
ENSMUSG000000044,Epha2,4,8,11,12,55,27,77,54
ENSMUSG000000045,Ephb1,0,0,0,3,2,11,1,2
ENSMUSG000000046,Axl,5,9,3,3,39,10,13,59
ENSMUSG000000047,Mertk,8,5,10,6,48,40,31,35
ENSMUSG000000048,Esr1,113,137,121,75,901,958,1814,382
ENSMUSG000000049,Pgr,43,39,32,66,151,183,64,395
ENSMUSG000000050,Ar,0,0,0,0,3,1,0,6
ENSMUSG000000051,Foxa1,50,45,26,18,208,163,208,207
ENSMUSG000000052,Gata3,18,12,4,9,60,42,61,22
ENSMUSG000000053,Cdk6,5,4,7,6,45,35,33,24
ENSMUSG000000054,Ccne1,75,44,73,79,141,468,96,199
ENSMUSG000000055,Cdkn1a,211,179,250,182,1202,481,389,558
ENSMUSG000000056,Cdkn2a,130,60,91,131,1363,924,785,897
ENSMUSG000000057,Cdkn2b,1,5,6,2,15,20,21,8
ENSMUSG000000058,Trp73,12,8,11,4,54,110,36,66
ENSMUSG000000059,Trp63,45,30,34,28,123,310,164,72
ENSMUSG000000060,Atm,95,183,175,137,725,631,393,367
ENSMUSG000000061,Atr,5,12,4,7,20,57,58,31
ENSMUSG000000062,Chek1,14,18,13,17,162,115,28,87
ENSMUSG000000063,Chek2,2,1,2,5,2,10,14,14
ENSMUSG000000064,Brca2,1,0,0,1,8,11,5,7
ENSMUSG000000065,Palb2,82,101,207,63,460,351,372,440
ENSMUSG000000066,Rad51,367,232,208,251,1638,871,1945,1506
ENSMUSG000000067,Xrcc1,16,18,9,23,65,52,56,202
ENSMUSG000000068,Cd44,162,134,69,136,1111,371,363,1048
ENSMUSG000000069,Aldh1a1,43,29,33,40,411,205,286,334
ENSMUSG000000070,Prom1,9,2,3,5,32,14,21,38
ENSMUSG000000071,Epcam,48,45,39,49,330,173,173,238
ENSMUSG000000072,Krt5,297,514,330,508,1146,2231,1673,1685
ENSMUSG000000073,Krt14,17,12,37,23,56,152,71,93
ENSMUSG000000074,Krt8,361,302,422,188,1831,2813,1561,1797
ENSMUSG000000075,Krt18,0,1,0,0,1,0,0,1
ENSMUSG000000076,Cdh2,35,108,128,84,845,212,656,326
ENSMUSG000000077,Vim,32,20,36,22,168,149,188,101
ENSMUSG000000078,Fn1,12,7,12,10,92,51,44,41
ENSMUSG000000079,Snai1,29,11,19,16,196,51,74,168
ENSMUSG000000080,Snai2,1,0,0,0,1,2,2,0
ENSMUSG000000081,Twist1,9,32,18,6,87,56,117,47
ENSMUSG000000082,Zeb1,30,54,46,17,184,91,409,275
ENSMUSG000000083,Zeb2,458,311,291,418,1356,995,4014,1930
ENSMUSG000000084,Mmp2,7,7,9,5,84,19,87,51
ENSMUSG000000085,Mmp9,7,0,2,2,43,19,13,28
ENSMUSG000000086,Col1a1,8,4,10,1,31,68,45,106
ENSMUSG000000087,Col3a1,88,97,115,104,339,499,255,612
ENSMUSG000000088,Acta2,20,75,48,25,64,246,303,268
ENSMUSG000000089,Pdgfrb,10,7,4,7,70,43,25,28
ENSMUSG000000090,Cxcl8,26,59,68,65,196,276,268,341
ENSMUSG000000091,Il6,23,20,15,15,221,103,91,293
ENSMUSG000000092,Tnf,124,153,144,137,1144,853,1031,607
ENSMUSG000000093,Ifng,4,5,9,3,18,16,36,9
ENSMUSG000000094,Cd274,6,11,11,12,40,58,41,19
ENSMUSG000000095,Pdcd1,9,10,4,8,70,22,59,24
ENSMUSG000000096,Ctla4,0,4,0,2,2,5,2,1
ENSMUSG000000097,Foxp3,44,24,28,26,125,146,171,238
ENSMUSG000000098,Cd8a,14,26,39,28,136,55,310,156
