gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG000004384,,25.05,4.5669,0.2294,39.4357,0.005231448367729952,7.241343780455746e-06
ENSG000004396,,28.04,5.2039,0.3374,82.3338,0.003063505691278365,1.6266071146187056e-05
ENSG000002869,,137.59,-2.379,0.2682,-6.2204,0.0018659559717314914,2.2447699193825668e-05
ENSG000000044,,45.72,-4.5814,0.4748,-11.3965,0.0005240171901857593,3.0445619790667903e-05
ENSG000003558,,13.84,5.4362,0.4788,34.7078,0.0023226663208859594,3.609475020108657e-05
ENSG000000778,,48.28,-1.5727,0.2262,-8.1813,0.00027075199984797,4.250224137280754e-05
ENSG000004044,,155.59,-4.9613,0.3736,-10.828,0.0012703668594819114,4.8712362374679624e-05
ENSG000000153,,158.37,1.5651,0.17,9.4818,0.0018500165513378733,4.9244341019937595e-05
ENSG000003451,WNT1,2173.45,4.2871,0.297,10.529,2.082806713073223e-06,5.178422953746927e-05
ENSG000000258,,2.1,4.7198,0.2253,20.3187,0.003535211227277301,5.58951777972115e-05
ENSG000004418,,294.7,2.5455,0.4685,32.5079,0.0006235213872913396,8.784163612323817e-05
ENSG000002335,,384.97,-5.2748,0.124,-69.9323,0.0002492898365948513,8.925147959754536e-05
ENSG000003623,,286.39,4.0446,0.4212,15.9974,0.000694227117746501,0.00010421166128076056
ENSG000001282,,146.87,-1.7375,0.4231,-12.0162,0.0002540502640327041,0.00011542576755236955
ENSG000004250,,113.53,3.8059,0.2864,8.2223,0.00024701175961643095,0.00012218470913659318
ENSG000003473,,11.43,2.2203,0.4433,19.342,0.00044906836431401223,0.0001226807942408683
ENSG000002471,,53.29,5.7405,0.2377,60.3836,6.595925472961043e-05,0.00013849814283730226
ENSG000003577,,418.95,4.7228,0.2297,83.3917,0.00018240145735233117,0.00014859320663160476
ENSG000000439,,5.55,-2.2283,0.1758,-11.533,0.0004867887033598357,0.00016137535181301495
ENSG000003435,,21.93,5.528,0.3734,16.1043,0.0002614590817038624,0.0001708520205120103
ENSG000004206,,431.4,-5.4189,0.0954,-35.817,0.0018288592989471723,0.00017521430488229617
ENSG000000607,ATM,4221.89,-1.5323,0.3697,-6.1827,0.0002227036720519473,0.00019474788351418954
ENSG000002226,,6666.56,3.6345,0.4112,8.5767,0.0003417436703881038,0.00020848919683318795
ENSG000001011,,0.5,3.6119,0.29,12.8961,0.0009060089052999747,0.0002102455009651511
ENSG000004177,,5361.13,5.3595,0.4151,45.8752,6.118222806742291e-07,0.00021388357586450379
ENSG000002920,,571.29,5.8924,0.4031,68.8971,0.0023194174214481323,0.00021420174179415607
ENSG000001338,,46.19,3.8368,0.3614,8.3353,0.0010162442283617353,0.00022284072814627673
ENSG000000930,,197.01,-5.4453,0.4195,-36.8882,0.00041876513865138495,0.00022291290620040746
ENSG000001633,,3.57,4.3368,0.4611,9.54,0.00020393899150660254,0.00022757341290178602
ENSG000001828,,436.63,4.2327,0.2068,59.3761,0.0001511347542144051,0.00022980115108351675
ENSG000001837,,642.7,-2.0558,0.1829,-5.3322,0.005498389224677164,0.0002481745430184906
ENSG000000779,,111.46,3.5143,0.2584,8.9054,0.0012316727224027358,0.000252577115096209
ENSG000000332,,54.74,-2.3361,0.3945,-5.137,0.0013570078706798244,0.00025472312274608423
ENSG000000712,,260.38,-5.4276,0.2068,-27.7567,0.0003167904095880519,0.0002644477119336791
ENSG000000924,,1077.17,2.9318,0.4404,15.3802,0.0006825401984728491,0.0002689049527725741
ENSG000004883,,1311.13,-3.8691,0.1287,-10.2258,0.0011430472782341925,0.00027070828608084406
ENSG000000278,,107.41,-3.3493,0.2364,-29.9227,0.0007650014739258317,0.0002781738818456098
ENSG000001804,,446.13,-2.8546,0.2956,-9.4243,0.002633108153646751,0.0002815817134109306
ENSG000000227,,125.75,4.6806,0.4772,16.7163,3.606144112485674e-05,0.00028786986520921103
ENSG000002972,,112.79,-5.6455,0.1912,-29.7119,3.101810399882772e-05,0.0002893503179770957
ENSG000002729,,6.49,2.1335,0.251,5.3603,0.0011305517788468054,0.000293100120557663
ENSG000002538,,5.7,-1.6248,0.241,-14.3482,0.0005050854418013333,0.0002973504283950655
ENSG000004668,,153.97,5.7602,0.2222,26.3752,0.0017283587584126373,0.0003075806569089385
ENSG000003227,,16.2,-5.9477,0.3575,-27.7334,0.0006931142443120197,0.00031338782675487906
ENSG000002999,,150.64,5.5214,0.2322,26.7041,0.00011012491164623947,0.00031898325969207124
ENSG000003746,,20.12,-2.3865,0.338,-6.744,0.0012806649490920018,0.00033231001396804053
ENSG000000922,,41.34,-4.1752,0.3191,-11.2866,0.0015022581340861088,0.00033744360784627113
ENSG000004106,,5.45,2.9616,0.3483,11.7938,0.0006961458631901237,0.00034378149143064046
ENSG000001789,,273.61,-5.2152,0.127,-25.836,0.00045884200369275904,0.00034767671921565003
ENSG000003040,,454.13,-4.6064,0.2337,-41.1241,0.00040998627096069484,0.0003678617155252379
ENSG000001044,,728.17,-5.4508,0.4037,-15.0226,0.0004118084039877098,0.0003730137340848043
ENSG000002403,,27.56,-4.0817,0.4196,-13.9864,0.0002681020047235587,0.0003741515372223932
ENSG000002033,,42.61,-2.0797,0.3548,-5.839,0.0006621533491385136,0.00038213596435502864
ENSG000003514,,7.95,-5.2102,0.2876,-15.8347,0.0025855411849370815,0.00039442489688734894
ENSG000000032,,90.53,2.3295,0.2274,27.2635,0.0001381978812595392,0.0004006569462067062
ENSG000001099,,172.28,-1.8517,0.0899,-4.7386,0.0016311390059406785,0.0004123829216574236
ENSG000003797,,224.67,-2.6625,0.0853,-9.3322,0.005860239727938312,0.0004268031805059065
ENSG000004475,,26.87,-2.0874,0.277,-10.7251,0.00027685423227301234,0.0004518623306890469
ENSG000004981,,152.31,-5.9385,0.2764,-15.1338,5.991246769760222e-05,0.0004606052291926157
ENSG000002174,,81.58,-5.5951,0.3022,-21.5008,4.4837356464066345e-05,0.0004695827321128948
ENSG000002045,,161.8,-1.974,0.1614,-5.8099,0.0012876313421511909,0.00048459698551857946
ENSG000002205,,29.38,5.9334,0.2544,19.6423,0.00040621267301830307,0.000488666609518953
ENSG000001743,,599.76,2.0608,0.134,5.4568,0.000324816316671343,0.0004907049790255201
ENSG000001303,,6975.97,5.9233,0.4675,13.7473,0.0001252437718314043,0.0005105475193895459
ENSG000004449,,48.84,4.5011,0.4959,11.6456,0.0005286571091925317,0.0005155324582597517
ENSG000001914,,156.73,-3.3385,0.2954,-8.3852,0.0008026940961267544,0.0005171741095024308
ENSG000002627,,1247.52,0.421,0.178,1.6974,0.000252454490562104,0.0005244350736874552
ENSG000000352,,31.86,2.5348,0.4425,31.3933,0.0005245268329606105,0.0005293366820905771
ENSG000001781,,411.43,-0.4219,0.1494,-0.923,0.00030973191500593966,0.0005389719778134716
ENSG000002326,ESR1,3654.82,2.997,0.4532,8.9757,0.00482287490499549,0.0005423020131628037
ENSG000002012,,479.74,-5.8437,0.2861,-12.0749,0.0004604965750530288,0.0005460522731064013
ENSG000002150,,1330.34,-2.5224,0.206,-19.3572,0.0005159647107823519,0.0005472905543477777
ENSG000002142,,133.11,-2.0008,0.394,-7.4061,0.0008209904704764239,0.0005561835234811162
ENSG000004336,,846.49,-4.2264,0.3016,-24.8896,3.868936005766084e-05,0.0005618968989984561
ENSG000000306,,415.0,-5.1929,0.3987,-50.2206,0.0014698469224188257,0.0005636775896705732
